time,Temperature (K)
2019-08-12 00:35:05.527686,326.54
2019-08-12 00:36:10.075089,326.44
2019-08-12 00:37:14.545952,326.54
2019-08-12 00:38:18.996149,326.44
2019-08-12 00:39:23.432086,326.54
2019-08-12 00:40:27.860532,326.54
2019-08-12 00:41:32.281662,326.44
2019-08-12 00:42:36.734279,326.54
2019-08-12 00:43:41.176336,326.54
2019-08-12 00:44:45.583331,326.54
2019-08-12 00:45:49.989447,326.44
2019-08-12 00:46:54.470085,326.54
2019-08-12 00:47:58.910789,326.54
2019-08-12 00:49:03.351479,326.44
2019-08-12 00:50:07.798925,326.54
2019-08-12 00:51:12.256307,326.54
2019-08-12 00:52:16.668451,326.54
2019-08-12 00:53:21.148922,326.44
2019-08-12 00:54:25.636711,326.54
2019-08-12 00:55:30.077699,326.54
2019-08-12 00:56:34.529972,326.54
2019-08-12 00:57:38.980684,326.54
2019-08-12 00:58:43.436019,326.54
2019-08-12 00:59:47.878520,326.54
2019-08-12 01:00:52.355238,326.54
2019-08-12 01:01:56.799305,326.54
2019-08-12 01:03:01.298753,326.54
2019-08-12 01:04:05.769321,326.54
2019-08-12 01:05:10.207112,326.54
2019-08-12 01:06:14.662775,326.44
2019-08-12 01:07:19.221734,326.54
2019-08-12 01:08:23.740526,326.54
2019-08-12 01:09:28.200653,326.44
2019-08-12 01:10:32.688041,326.54
2019-08-12 01:11:37.119628,326.54
2019-08-12 01:12:41.547765,326.54
2019-08-12 01:13:46.004068,326.54
2019-08-12 01:14:50.416052,326.44
2019-08-12 01:15:54.945849,326.44
2019-08-12 01:16:59.493719,326.54
2019-08-12 01:18:04.025765,326.44
2019-08-12 01:19:08.546429,326.54
2019-08-12 01:20:13.122306,326.54
2019-08-12 01:21:17.639806,326.54
2019-08-12 01:22:22.182940,326.54
2019-08-12 01:23:26.707621,326.54
2019-08-12 01:24:31.228305,326.54
2019-08-12 01:25:35.789940,326.54
2019-08-12 01:26:40.289094,326.54
2019-08-12 01:27:44.806109,326.54
2019-08-12 01:28:49.379684,326.54
2019-08-12 01:29:53.924062,326.44
